type,name,votes,share
coalition,right,11101370,37.02
party,lega,5213703,17.78
party,forza italia,4083355,13.92
party,fratelli d'italia con giorgia meloni,1277995,4.35
party,noi con l'italia - udc,382176,1.30
coalition,m5s,9680489,32.28
party,movimento 5 stelle,9419388,32.12
coalition,left,6947791,23.16
party,partito democratico,5549973,18.93
party,+europa,762144,2.59
party,italia europa insieme,172542,0.58
party,civica popolare lorenzin,151660,0.51
party,svp - patt,129759,0.44
coalition,leu,1032481,3.44
party,liberi e uguali,990353,3.37
total,total,29987493,100